Route Number,Total Trains in Route,Segment Number,Train Number,Train Name,From Station,Departure Time,To Station,Arrival Time,Segment Distance (km),Segment Duration (hrs),Seat Availability,Waiting Time Before Segment (hrs),Total Route Distance (km),Total Route Duration,Estimated Cost (₹)
40,3,2,12037,NDLS-LDH SHA,NDLS,07:00:00,LDH,12:25:00,328.0,6.56,1,17.25,3740.0,92h 46m,3740.0
40,3,3,19806,UHP-KOTA WEE,LDH,21:50:00,KOTA,11:10:00,769.0,13.98,1,9.42,3740.0,92h 46m,3740.0
41,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,4036.0,114h 40m,4036.0
41,3,2,12485,NED SGNR EXP,NDLS,13:30:00,SGNR,22:30:00,474.0,9.48,1,23.75,4036.0,114h 40m,4036.0
41,3,3,22982,KOTA-HMH -KO,SGNR,17:40:00,KOTA,09:50:00,919.0,16.71,1,19.17,4036.0,114h 40m,4036.0
42,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3207.0,69h 6m,3207.0
42,3,2,14212,AGC INTERCIT,NDLS,17:35:00,AGC,22:05:00,191.0,4.24,1,3.83,3207.0,69h 6m,3207.0
42,3,3,13237,PNBE- KOTA,AGC,06:05:00,KOTA,12:55:00,373.0,7.46,1,8.0,3207.0,69h 6m,3207.0
43,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3207.0,69h 6m,3207.0
43,3,2,14212,AGC INTERCIT,NDLS,17:35:00,AGC,22:05:00,191.0,4.24,1,3.83,3207.0,69h 6m,3207.0
43,3,3,13239,PNBE-KOTA EX,AGC,06:05:00,KOTA,12:55:00,373.0,7.46,1,8.0,3207.0,69h 6m,3207.0
44,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3242.0,100h 17m,3242.0
44,3,2,14323,ROK INTERCIT,NDLS,10:35:00,ROK,12:55:00,71.0,1.87,1,20.83,3242.0,100h 17m,3242.0
44,3,3,19804,SVDK-KOTA WE,ROK,11:20:00,KOTA,23:50:00,528.0,9.6,0,22.42,3242.0,100h 17m,3242.0
45,3,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,4375.0,95h 8m,4375.0
45,3,2,19805,KOTA-UHP WEE,NDLS,23:20:00,UHP,12:15:00,629.0,11.44,1,9.58,4375.0,95h 8m,4375.0
45,3,3,19804,SVDK-KOTA WE,UHP,22:25:00,KOTA,23:50:00,1103.0,18.38,0,10.17,4375.0,95h 8m,4375.0
